name,business_type,website,lat,lon,address_line1,address_line2,postcode
Cafe Cinco,Restaurant,,51.570224,0.460441,,Essex,SS14 1HH
Cafe Cosmos,Restaurant,,51.569052,0.458848,The Kiosk,Essex,SS14 1BZ
Cafe Deli,Restaurant,,51.627254,0.418689,,Essex,CM12 9BA
Cafe in the Park,Restaurant,,51.63266,0.415581,Lake Meadows,Essex.,CM12 0BW
Cafe on the Common Thursdays 12 - 2pm,Restaurant,,51.623371,0.439851,Church Of St John The Divine,Billericay,CM11 2LE
Caffè Nero,Restaurant,,51.6255769,0.4172828,T R B Squire House,Essex,CM12 9AS
Caffe Royale London,Restaurant,,51.5694418,0.4605128,109 Eastgate Centre,Essex,SS14 1AG
Castle Mayne,Pub,,51.5639533996582,0.444575995206833,The Castle Mayne Public House,Essex,SS16 5RZ
Chequers,Pub,,51.626986,0.419036,,Essex,CM12 9BQ
Chopstix Noodle bar,Restaurant,,51.5695214,0.4622593,Unit 6 Food Court Eastgate Centre,Essex,SS14 1AF
Cloud9 Espresso Bar and Kitchen,Restaurant,,51.627254,0.418689,,Essex,CM12 9BA
Club Kingswood,Pub,,51.559032,0.458898,Club Kingswood,Essex,SS16 5JP
Coco Cafe,Restaurant,,51.5823248,0.4867436,,Essex,SS14 3JT
Compass Limited,Restaurant,,51.587824,0.459139,Asda Stores,Essex,SS14 3AS
Cristi’s Bar,Restaurant,,51.622698,0.416323,,Essex,CM12 9DF
Cromwell Manor,Restaurant,,51.5598208,0.5042274,Cromwell Manor,Basildon,SS16 4UH
Culpepper Club,Pub,,51.5860847,0.4811169,Culpepper Club,Essex,SS14 3AP
Curry Garden / Taj Mahal,Restaurant,,51.565221,0.506851,The Parade,Basildon,SS13 3BA
David Lloyd Club,Pub,,51.583619,0.460659,,Essex,SS14 3DG
DB BBQ Group,Restaurant,,51.5639486,0.4453834,The Castle Mayne Public House,Basildon,SS16 5RZ
DB Shack,Pub,,51.5639533996582,0.444575995206833,The Castle Mayne Public House,Essex,SS16 5RZ
Deniz Restaurant,Restaurant,,51.570049,0.462307,,Essex,SS14 1EU
De-Source Africa Restaurant/ Miolad,Restaurant,,51.5700492858887,0.462307006120682,,Essex,SS14 1EU
Dil Tandoori,Restaurant,,51.565236,0.507414,,Basildon,SS13 3BB
DON CAFE,Restaurant,,51.6138572,0.5202063,10 Willowdale Centre,Essex,SS12 0RB
Downham Arms,Pub,,51.611579,0.508235,,Essex,SS12 0AR
Dream Cafe,Restaurant,,51.57005,0.462307,,Essex,SS14 1EU
Duke of York,Restaurant,,51.612719,0.434455,Duke Of York Public House,Essex,CM11 2PR
Dunton Park Country Club,Pub,,51.569253,0.395232,,BasildonEssex.,CM13 3SX
Eat Coffee House,Restaurant,,,,Pavillon Offices,Essex,SS13 1LQ
ECL Basildon Older People,Restaurant,,,,Ashleigh Centre,Essex,SS14 2NN
Eighty K,Restaurant,,51.584389,0.5026056,,Essex,SS13 1LN
Escape Basildon Ltd,Restaurant,,51.5695419311523,0.458180993795395,,Essex,SS14 1DD
Esquires Coffee House,Restaurant,,51.571114,0.460027,Mall Kiosk,Essex,SS14 1AA
ESSEX BBQ,Restaurant,,51.5748404,0.4599673,,Essex,SS14 2DD
Evangelical Church,Restaurant,,51.6100234985352,0.520021975040436,Evangelical Church,Essex,SS12 0QQ
Favorite Chicken & Ribs,Restaurant,,51.612853,0.520988,,Essex,SS12 9AZ
FEAST of Bengal,Restaurant,,51.626439,0.428096,,Essex,CM11 2DN
Felix Restaurants Ltd,Restaurant,,51.6250305175781,0.418787986040115,,Essex,CM12 9LT
Five Bells,Restaurant,,51.551825,0.464237,,Essex,SS16 5LD
Five Guys,Restaurant,,51.5852142,0.4631836,Unit 18 Festival Leisure Park,Essex,SS14 3WB
Flamingo,Restaurant,,51.625436,0.417899,,Essex,CM12 9BS
Flamingo / Platts Platters,Restaurant,,51.627097,0.4185773,,Essex,CM12 9BA
Fords Main Restaurant,Restaurant,,51.5813789367676,0.405281007289886,Ford Research And Engineering Centre,Basildon,SS15 6EE
Fords V-Building Restaurant,Restaurant,,51.5813789367676,0.405281007289886,Ford Research And Engineering Centre,Basildon,SS15 6EE
Frankie & Benny’s also t/a Bao Now / Bird Box / Bone Jam / Breakfast & Lunch / Puddo / STACKS / Street Feud,Restaurant,,51.5851299,0.4624861,Unit 11 Festival Leisure Park,Essex,SS14 3WB
French Martini,Restaurant,,51.6276359558105,0.418449014425278,,Essex,CM12 9DZ
Friern Manor Country Hotel,Restaurant,,51.579319,0.390277,,BasildonEssex.,CM13 3SL
Fryerns Community Centre,Pub,,51.57863,0.476801,,Essex,SS14 2NN
Fryerns Social Club,Pub,,51.578629,0.4768,Fryerns Social Club Fryerns Community Centre,Essex,SS14 2NN
George's Cafe,Restaurant,,51.5644732,0.5040944,,Basildon,SS13 3BG
Giggling Squid,Restaurant,,51.623989,0.41655,,Essex,CM12 9BY
Great Berry Residents Club,Pub,,51.5641354,0.4072131,Unit 1 Great Berry Centre,Basildon,SS16 6SA
Great Chalvedon Hall,Pub,,51.574973,0.510924,Great Chalvedon Hall,Basildon,SS13 2AN
Greek Corner,Restaurant,,51.578104,0.4736964,,Essex,SS14 2HB
GreekBites Basildon,Restaurant,,51.5837877,0.5242587,Unit 7 Lilliput Village,Basildon,SS13 1DY
Greggs Bakers,Restaurant,,51.569729,0.457022,,Essex,SS14 1DT
Greggs PLC,Restaurant,,51.5809217,0.446502,Unit 3 St Hilary Retail Park,Essex,SS14 3BA
Hackers,Pub,,51.626986,0.419036,,Essex,CM12 9BQ
Hamelin Trust,Restaurant,,51.6311912536621,0.414476990699768,Unit 19,Essex,CM12 0DU
Harry's Bar,Restaurant,,51.626986,0.419036,,Essex,CM12 9BQ
Harvester Darby Digger,Pub,,51.6007,0.519852,Darby Digger,Essex,SS12 9PT
Hashtag United Youth FC limited,Restaurant,,51.6020364,0.4457531,Barleylands,Essex,CM11 2UD
Helen Arber Performing Arts,Pub,,51.630472,0.413976,Image House,Essex,CM12 0DX
Hollywood Bowl,Restaurant,,51.585137,0.462459,Festival Leisure Park,Essex.,SS14 3WB
Human Kind Cafe,Restaurant,,51.624762,0.416563,,Essex,CM12 9AJ
Impact Food Group @ The James Hornsby School,Restaurant,,51.5759696960449,0.430642992258072,The James Hornsby High School,Essex,SS15 5NX
Indian Ruchi,Restaurant,,51.6278283,0.4188762,,Essex,CM12 9BE
Inn on the Green,Pub,,51.6322479248047,0.407249987125397,Inn On The Green,Essex,CM12 0EH
J D Wetherspoon,Pub,,51.6272392272949,0.418715000152588,The Blue Boar,Essex,CM12 9BA
Jade Palace,Restaurant,,51.614445,0.522203,,Essex,SS11 7AD
Jolly Friar Public House,Pub,,51.582342,0.486703,,Essex,SS14 3JT
Kaspas desserts,Restaurant,,51.570594,0.4608525,,Essex,SS14 1HA
Katz,Pub,,51.568427,0.453012,Katz Gentlemens Club,Essex,SS14 1DJ
King’s Cafe,Restaurant,,51.5609169,0.4874751,9 Vange Riverview Centre,Essex,SS16 4NE
Kings Head,Pub,,51.6097793579102,0.438371002674103,Kings Head,Billericay,CM11 2PS
KINGS PIZZA AND CHICKEN AND CAFE,Restaurant,,51.57323,0.441812,,Essex,SS15 5HL
Kingswood Kebab and Cafe,Restaurant,,51.5636177062988,0.463301002979279,,Essex,SS16 5DF
Kosthuree,Restaurant,,51.626413,0.418066,,Essex,CM12 9AX
La Dolce Vita,Restaurant,,51.626413,0.418066,,Essex,CM12 9AX
Laindon Cafe,Restaurant,,51.568581,0.420523,Unit F,Basildon,SS15 6PX
Laindon Day Centre Committee,Restaurant,,51.571609,0.420236,,Laindon,SS15 6NX
Langdon Nature Discovery Centre,Restaurant,,51.5608215332031,0.393187999725342,Langdon Visitor Centre,Basildon,SS16 6EJ
Laura's,Restaurant,,51.586141,0.397478,Dunton Bootsale Site,Billericay,CM12 9TZ
Layalina,Restaurant,,51.626986,0.419036,,Essex,CM12 9BQ
League of Friends,Restaurant,,51.557697,0.450545,Basildon Hospital,Essex,SS16 5NL
Legends,Restaurant,,51.5851364135742,0.462458997964859,Unit 8d Festival Leisure Park,Essex,SS14 3WB
Leonardo,Restaurant,,51.591561,0.495133,Sigma House,Essex,SS14 3HG
Lise Lous Tea Room,Restaurant,,51.5801184,0.5248164,Westside Lodge,Basildon,SS13 2LR
Lon Wah Restaurant,Restaurant,,51.61135,0.518102,,Essex,SS12 0AW
Mac's Bar & Cafe,Restaurant,,51.588552,0.490291,,Essex,SS14 3DP
Maggio Lounge,Restaurant,,51.6256863,0.4180833,,Essex,CM12 9BS
Marco Polo Indian Cuisine,Restaurant,,51.614066,0.52354,,Essex,SS11 8AB
Marie's at Wernick & Sons,Restaurant,,51.608511,0.533833,Wernick & Sons,Essex.,SS11 8BL
Market Cafe,Restaurant,,51.5651331,0.50478,6 Anne Boleyn Mansions,Basildon,SS13 3AN
Mega Grill / EZY cafe,Restaurant,,51.585507,0.4893571,Unit 1b Adams Business Centre,Essex,SS14 3JF
Megabyte,Restaurant,,51.5690207,0.4578637,South Essex College,Essex,SS14 1GP
Memorial Park Cafe,Restaurant,,51.618549,0.5380872,Wickford Memorial Park,Essex,SS11 8HU
Mem's Kitchen,Restaurant,,51.612067,0.520713,9 Ladygate Centre,Essex,SS12 9AJ
Menad,Restaurant,,51.627905,0.418941,,Essex,CM12 9BE
Meyra Brasserie,Restaurant,,51.6274478,0.4194484,,Essex,CM12 9BQ
Mickys Catering,Restaurant,,51.617808,0.528081,,Essex,SS11 7HL
Miller & Carter,Pub,,51.552801,0.421272,,BasildonEssex.,SS16 6HU
Mintoo,Restaurant,,51.582342,0.486703,,Essex,SS14 3JT
Miracles,Restaurant,,51.57005,0.462307,,Essex,SS14 1EU
Mist Cafe Bistro,Restaurant,,51.612235,0.5205751,,Essex,SS12 9AY
Monkey Madness,Restaurant,,51.5837411,0.4454787,Monkey Madness,Essex,SS14 3GN
Mothers Kitchen Ltd,Restaurant,,51.5791002,0.5072801,,Basildon,SS13 1PN
Muffin Break,Restaurant,,51.5692345,0.4622477,14 Eastgate Centre,Essex,SS14 1JJ
Muscavado,Restaurant,,51.8011894226074,0.613657832145691,,Essex,SS14 1AE
Neds Noodle Box,Restaurant,,51.569506,0.460358,Unit 3 Food Court Eastgate Centre,Essex,SS14 1AF
Niffers cafe,Restaurant,,,,Selco Builders Warehouse,Essex,SS14 3AY
Nikki’s kitchen,Restaurant,,51.6091684,0.5372753,Unit 1c Byron Works,Essex,SS11 8QR
Noak Hill Golf Club,Restaurant,,51.597612,0.425705,,Essex,CM12 9UL
OCS at CNHi,Restaurant,,51.5865669250488,0.471962988376617,New Holland Uk,Essex,SS14 3AD
Olivers Restaurant & Wine Bar,Restaurant,,51.6268501281738,0.426903992891312,Olivers Italian Restaurant And Wine Limited,Essex,CM11 2DG
OMG Desserts,Restaurant,,51.5689655,0.4583514,,Essex,SS14 1BZ
Oriental Chef,Restaurant,,51.612618,0.519328,,Wickford Essex.,SS12 0AF
Orleto Lounge,Restaurant,,51.5705068,0.4600697,,Essex,SS14 1HS
Owl & Pussycat,Pub,,51.563617,0.463301,,Essex,SS16 5DF
Papworth Trust,Restaurant,,51.566085,0.462266,Bradbury House,Essex,SS16 5BP
Pepes,Restaurant,,51.5714139,0.4621057,,Essex,SS14 1EL
Piccadilly Whip Catering Limited,Restaurant,,51.5511689,0.5059314,Wat Tyler Country Park,Basildon,SS16 4UH
Pizza Express,Restaurant,,51.590785,0.479527,Festival Leisure Park,Essex.,SS14 3HZ
Posh Boys Brewery,Pub,,51.6136857,0.5238041,8 Riverside House,Essex,SS11 8BB
Post Office Sports Club,Pub,,51.589844,0.484038,,Essex,SS14 3AP
Q Ball Snooker and Sports Bar,Pub,,51.5685272216797,0.453146994113922,Q Ball Snooker Centre,Essex,SS14 1DJ
Queenies,Restaurant,,51.6239681,0.4159259,,Essex,CM12 9AH
Red Lion,Pub,,51.624762,0.416563,,Essex,CM12 9AJ
Ripped Gym Basildon,Restaurant,,51.585352,0.51382,,Essex,SS13 1EP
ROBINS PIE & MASH LTD,Restaurant,,51.5704314,0.4579462,,Essex,SS14 1BA
Rose Cafe,Restaurant,,51.566324,0.50404,,Basildon Essex,SS13 3DU
Royal British Legion Club,Pub,,51.617808,0.528081,,Essex,SS11 7HL
Royal Café & Restaurant,Restaurant,,51.5696353,0.4620634,,Essex,SS14 1EU
Rumours,Pub,,,,Old Barn Court,Essex,CM12 9BY
Salvation Army Luncheon Club,Restaurant,,51.56683,0.454138,,Essex,SS16 5AP
Scottie’s ltd,Restaurant,,51.5898303,0.4437121,Bensons Farm,Basildon,SS15 4BP
Shepherd & Dog,Pub,,51.6034202575684,0.475782006978989,Shepherd And Dog Inn,Essex,CM11 2XY
Shotgate Cafe,Restaurant,,51.600931,0.547447,,Essex,SS11 8YR
Slim Chickens,Restaurant,,51.5844951,0.4623075,Unit 8b Festival Leisure Park,Essex,SS14 3WB
SLM Cafe,Restaurant,,51.578905,0.447861,Basildon Sporting Village,Essex,SS14 3GR
Smash Indian,Restaurant,,51.6145886,0.5232186,,Essex,SS11 7AA
Smokies Grill Basildon,Restaurant,,51.570223,0.46044,,Essex,SS14 1HH
Snack Bar,Restaurant,,51.571114,0.460027,,BasildonEssex,SS15 5SD
Spice inn,Restaurant,,51.627254,0.418689,,Essex,CM12 9BA
Spoon World Buffet & Bar,Restaurant,,51.570354,0.461486,,Essex,SS14 1HE
Sprinkles Gelato,Restaurant,,51.585137,0.462458,Unit 8d Festival Leisure Park,Essex,SS14 3WB
St Andrews Coffee Morning,Restaurant,,51.6116752624512,0.516690015792847,St Andrews Church,Essex,SS12 0AN
St Margarets School Catering,Restaurant,,,,St Margarets School,Basildon,SS13 2DT
Stacey's Pie Shop,Restaurant,,51.570895,0.484909,,Essex,SS14 1PB
Station Cafe,Restaurant,,51.569052,0.458848,,Essex,SS14 1BZ
Station chippy,Restaurant,,51.5689972,0.4585551,,Essex,SS14 1BZ
Stay & Play,Restaurant,,,,Stay And Play,Basildon,SS15 6PJ
Stephens Bouquet,Restaurant,,51.611876,0.519995,,Essex,SS12 9AQ
Stock Brook Manor Golf Club,Pub,,51.648551940918,0.414575010538101,Stock Brook Manor Golf And Country Club,Essex,CM12 0SP
Sweet Choice Dessert Lounge,Restaurant,,51.6116331,0.5180287,,Essex,SS12 0AN
Taco Bell,Restaurant,,51.5694418,0.4605128,Unit 4 Food Court Eastgate Centre,Essex,SS14 1AF
Talkington Bates Ltd,Restaurant,,51.58874,0.465642,Janus House,Essex,SS14 3WF
Team Sport Indoor Karting,Restaurant,,51.5851364135742,0.462458997964859,Unit 3,Essex,SS14 3WB
"TGI Friday',  Byron Burger Delivery only, Mother Clucker",Restaurant,,51.582294,0.462507,Festival Leisure Park,Essex.,SS14 3WD
Thai House,Restaurant,,51.627254,0.418689,,Essex,CM12 9BA
The Big Q,Restaurant,,51.577992,0.473778,,Essex,SS14 2HB
The Billericay,Restaurant,,51.622698,0.416323,,Essex,CM12 9DF
The Bistro,Restaurant,,,,Phoenix House,Essex,SS14 9PQ
The Breakfast Room,Restaurant,,51.623185,0.41671,,Essex,CM12 9YB
The Burstead Golf Club,Pub,,51.605394,0.40151,,BillericayEssex.,CM12 9SS
The Cafe @ Intersports,Restaurant,,51.6069641,0.4505238,Granite Chase,Billericay,CM11 2UQ
The Café Basildon,Restaurant,,51.58693,0.506068,Lorry Park,Essex,SS13 1RZ
The Coach and Horses,Pub,,51.62506,0.418225,,Essex,CM12 9LU
The Coffee Station,Restaurant,,51.615271,0.519331,Wickford Railway Station,Essex,SS11 7AT
The Coriander,Restaurant,,51.577992,0.473778,,Essex,SS14 2HB
The Cosy Cup,Restaurant,,51.609789,0.39283,Richdan Farm,Billericay,CM12 9SD
The Crane,Pub,,51.582349,0.492276,The Crane,Essex,SS14 3LP
The Crown,Pub,,51.626224,0.41846,,Essex,CM12 9BQ
The Duke Public House,Pub,,51.611697,0.520346,,Essex,SS12 9AT
The Dukes Head,Pub,,51.6070556640625,0.412140995264053,The Dukes Head,Essex,CM12 9TA
The Eyna Lounge and Grill,Restaurant,,,,Eyna,Essex,SS13 1BW
The Fiery Fork,Restaurant,,,,Selco,Essex,SS14 3AY
The Forge Public House,Pub,,51.6372361,0.414,,Essex,CM12 0UA
The Four Seasons Public House,Pub,,51.5755906,0.4108351,The Four Seasons,Basildon,SS15 6AW
The George Hurd Centre,Restaurant,,51.572874,0.461435,The George Hurd Centre,Essex,SS14 2FL
The Greedy Chef Cafe,Restaurant,,51.56867,0.535123,Manor Garden Centre,Basildon Essex,SS13 2JB
The Gun Pub & Golzar Restaurant,Restaurant,,51.5656727,0.524102,The Gun Public House,Basildon,SS13 2DA
The Hive,Restaurant,,51.575267,0.464393,Basildon United Reformed Church,Essex,SS14 2JZ
The Honey Pot,Pub,,51.582728,0.463267,Festival Leisure Park,Essex.,SS14 3TJ
The Hungry Gandhi/Gandhi Indian Restaurant,Restaurant,,51.624721,0.416358,3 Holly Court,Essex,CM12 9AJ
The Lillies,Restaurant,,51.610308,0.496999,,Essex,SS12 0JX
The Magic Mushroom,Restaurant,,51.6012153,0.4455365,Magic Mushroom Barleylands Farm,Essex,CM11 2UD
The Noak Bridge,Pub,,51.5884421,0.4386859,The Noak Bridge,Basildon,SS15 4BS
The Plough and Tractor,Pub,,51.572508,0.441052,,Essex,SS15 5HG
The Posh Boys Brewery,Pub,,51.6136857,0.5238041,8 Riverside House,Essex,SS11 8BB
The Quays,Pub,,51.585137,0.462459,Festival Leisure Park,Essex.,SS14 3WB
The Railway Hotel,Pub,,51.627905,0.418941,,Essex,CM12 9BE
The Raj Restaurant,Restaurant,,51.624797,0.416189,,Essex,CM12 9AP
The Veil Restaurant & Bar,Restaurant,,51.5825008,0.4878254,,Essex,SS14 3JX
The Warehouse,Pub,,51.6312685,0.4120794,2 Molyneux Court,Essex,CM12 0BT
The Watermill,Pub,,51.581169128418,0.496960014104843,Watermill Beefeater,Essex,SS13 1BW
The White Swan,Pub,,51.6148305,0.522842,The White Swan,Essex,SS11 7AD
Tiptree Tea Rooms at Barleylands,Restaurant,,51.601178,0.445405,Barleylands Farm,Essex,CM11 2UD
Toby Carvery,Restaurant,,51.585137,0.462459,Festival Leisure Park,Essex,SS14 3WB
Toby Football Club,Restaurant,,51.601178,0.445405,Barleylands Farm,Essex,CM11 2UD
Tony’s Italian Restaurant,Restaurant,,51.611697,0.520346,,Essex,SS12 9AT
Towngate Theatre Bar,Restaurant,,51.570451,0.454334,Towngate Theatre,Essex,SS14 1DL
Two Lakes Cafe,Restaurant,,51.579208,0.499177,,Essex,SS13 1SD
Vange & Pitsea Social Club Ltd,Pub,,51.561879,0.493161,Vange And Pitsea Working Mens Club,Basildon,SS16 4TG
Wagamama,Restaurant,,51.5852127075195,0.463182985782623,Unit 10 Festival Leisure Park,Essex,SS14 3WB
Wakey Wakey,Restaurant,,51.568168,0.423979,,Basildon,SS15 6UA
Wick Bar,Pub,,51.601813,0.535829,Wick Community Centre,Essex,SS12 9NR
Wickford Cafe,Restaurant,,,,,Essex,SS11 7AQ
Wickford Community Association,Pub,,51.6104278564453,0.51970899105072,Nevendon Centre,,SS12 0QG
Wickford Diner,Restaurant,,51.612853,0.520988,,Essex,SS12 9AZ
Wickford Railway Club,Pub,,51.6149389,0.5182729,,Essex,SS12 0AB
Wildwood Restaurants,Restaurant,,51.622912,0.415583,,Essex,CM12 9AB
Winged Horse,Pub,,51.5680707,0.4926757,The Winged Horse,Essex,SS14 1SB
Winston Social Club,Pub,,51.568922,0.423629,,Basildon,SS15 6NL
Yau's,Restaurant,,51.626986,0.419036,Sheredays Mews,Essex,CM12 9BQ
125 Heritage Ltd,Restaurant,,,,Colne Valley Railways,Essex,CO9 3DZ
47 Bar & Restaurant,Pub,,51.875255,0.506192,47 The Street,Essex,CM77 6RU
7 Spice Restaurant Ltd,Restaurant,,51.843691,0.7346465,Prested Hall Health Club,Essex,CO5 9EE
AKA Restaurant & Lounge,Restaurant,,51.7993850708008,0.63987398147583,AKA Restaurant,Essex,CM8 2BD
Amerios Bar,Pub,,51.926908,0.699738,Earls Colne Village Hall,Essex,CO6 2RN
Aramark At Aegon,Restaurant,,51.8005672,0.6429025,4 Mayland Road,,CM8 2FR
Astare Restaurant,Restaurant,,51.798714,0.638998,101 Newland Street,,CM8 1AA
ASV Braintree Subway,Restaurant,,51.8693008422852,0.581866025924683,Galleys Corner,Essex,CM77 8GG
Bakealicious Tea Room,Restaurant,,51.8715483,0.6863494,10 Market Hill,,CO6 1TS
Balti Night,Restaurant,,51.8783264160156,0.554399013519287,15 Manor Street,,CM7 3HW
Bannatyne Health Club Braintree,Restaurant,,51.885646,0.534948,Springwood Drive,,CM7 2YN
Bardfield Montessori Day Nursery Ltd,Restaurant,,51.939102,0.445601,Braintree Road,,CM7 4PY
Belchamp Walter Film Club,Restaurant,,,,Belchamp Walter Village Hall,Essex,CO10 7AR
Benton Hall Leisure Centre And Creche,Restaurant,,51.788381,0.649764,Benton Hall Golf Club,Essex,CM8 3LH
Bill's Restaurant,Restaurant,,51.8693961,0.5710759,Unit R1,Braintree,CM77 8YH
Birdbrook Bowls Club,Pub,,52.0408374,0.4860321,The Bryce Foundation Community House,Essex,CO9 4BN
Black Horse Cafe,Restaurant,,51.908637,0.696505,Broomfield Farm,Essex,CO6 2JX
Boars Head PH,Pub,,51.942254,0.492642,High Street,,CM7 7JS
Bocking Sports Club,Pub,,51.902304,0.554771,Church Street,,CM7 5JY
Bocking Village Hall,Pub,,51.903393,0.555952,Church Street,Essex,CM7 5LA
Braintree And Bocking Constitutional Club,Pub,,51.878751,0.552287,Great Square,,CM7 1TY
Braintree Bagels,Restaurant,,51.8799895,0.5523983,3 Coggeshall Road,,CM7 9DB
Braintree BMX Club,Restaurant,,51.898326,0.548672,Panfield Lane,,CM7 5SS
Braintree Bowls Club,Pub,,51.876773,0.545201,29/31 Clare Road,,CM7 2PA
Braintree Cafe,Restaurant,,51.88063,0.5660244,268 Coggeshall Road,,CM7 9EJ
Braintree Cricket Club,Pub,,51.88257142,0.55139266,St Peters Close,,CM7 9AW
Braintree Hockey Club,Pub,,51.90493,0.565912,The Four Releet,Essex,CM7 5LJ
Braintree Lawn Tennis Club,Pub,,,,Former Crittall Sports Ground,Essex,CM7 6QY
Braintree Museum,Restaurant,,51.878328,0.554399,Braintree District Museum,Essex,CM7 3HW
Braintree Rugby Club,Pub,,51.872933,0.581945,Beckers Green Road,,CM7 3PR
Braintree Sixth Form College (Cafe 6),Restaurant,,51.942254,0.492642,Notley Road,,CM7 6QA
Braintree Thai,Restaurant,,51.8797534,0.5516729,14A Coggeshall Road,,CM7 9BY
Braintree Town Football Club,Pub,,51.874119,0.570927,Clockhouse Way,,CM7 3DE
"Braintree, Bocking And District Liberal Club",Pub,,51.8800352,0.5560916,106 Coggeshall Road,,CM7 9ES
Brambles Restaurant Quadrant Store,Restaurant,,51.879561,0.54979,9 - 15 Rayne Road,,CM7 2QA
Breeze Cafe,Restaurant,,51.800558,0.641383,11 Newland Street,,CM8 2AF
Brick Lane Bagel Co,Restaurant,,51.8698947,0.5703787,Unit 76,Braintree,CM77 8YH
Bubblescape,Restaurant,,51.7975183,0.6372994,137 Newland Street,,CM8 1BE
Buddy & Rhino,Restaurant,,51.9480018615723,0.435795992612839,The Old Post Office,Essex,CM7 4SP
Burger King,Restaurant,,51.852554,0.730834,London Road,,CO5 9EL
Caesars At Dolphin,Pub,,51.878858,0.610924,Coggeshall Road,,CM77 8EU
Cafe Bamboo,Restaurant,,51.9449223,0.6381324,22 - 24 High Street,,CO9 2AP
Cafe Bijou,Restaurant,,51.8708343505859,0.686120986938477,3 - 7 Market End,,CO6 1TP
Cafe CM7,Restaurant,,51.8782294,0.549378,9 Sandpit Lane,,CM7 1LY
